_timestamp,train/loss,train/epoch,train/grad_norm,train/global_step,train/learning_rate,_step,_runtime
1756375155.7751663,3.7497,0.06944444444444445,7.743264675140381,5,8e-05,0,26.921719500000002
1756375173.6082685,3.0145,0.1388888888888889,4.663326740264893,10,0.00018,1,44.7537717
1756375193.9481516,2.7503,0.20833333333333334,4.783820629119873,15,0.00019666666666666666,2,65.0936547
1756375212.2425811,2.5432,0.2777777777777778,3.5525331497192383,20,0.00019250000000000002,3,83.3880844
1756375229.9145217,2.4385,0.3472222222222222,3.0045177936553955,25,0.00018833333333333335,4,101.0600247
1756375248.4165776,2.4431,0.4166666666666667,2.6722962856292725,30,0.00018416666666666665,5,119.5626643
1756375266.925954,2.4426,0.4861111111111111,2.7427029609680176,35,0.00018,6,138.0720036
1756375285.0410006,2.3333,0.5555555555555556,2.7190279960632324,40,0.00017583333333333334,7,156.1865038
1756375302.945488,2.3853,0.625,2.6787073612213135,45,0.00017166666666666667,8,174.0914945
1756375321.1720326,2.3784,0.6944444444444444,2.487619161605835,50,0.0001675,9,192.3180408
1756375342.3822854,2.3753,0.7638888888888888,2.5394134521484375,55,0.00016333333333333334,10,213.5277885
1756375360.6911323,2.3241,0.8333333333333334,2.5766215324401855,60,0.00015916666666666667,11,231.8366356
1756375378.963346,2.2571,0.9027777777777778,2.70892596244812,65,0.000155,12,250.1088492
1756375396.630934,2.2079,0.9722222222222222,2.472841739654541,70,0.00015083333333333333,13,267.7769415
1756375414.9159434,1.8811,1.0416666666666667,1.9643914699554443,75,0.00014666666666666666,14,286.0619514
1756375433.150381,1.593,1.1111111111111112,2.3875837326049805,80,0.00014250000000000002,15,304.2958843
1756375452.2104583,1.5939,1.1805555555555556,2.8294174671173096,85,0.00013833333333333333,16,323.3559615
1756375475.1626036,1.6161,1.25,2.7343854904174805,90,0.00013416666666666666,17,346.3081067
1756375496.6845343,1.5491,1.3194444444444444,2.3960487842559814,95,0.00013000000000000002,18,367.8300374
1756375518.1016371,1.5061,1.3888888888888888,2.9831836223602295,100,0.00012583333333333335,19,389.2471402
1756375542.1160727,1.5124,1.4583333333333333,2.9433541297912598,105,0.00012166666666666667,20,413.261576
1756375563.2838023,1.4761,1.5277777777777777,2.351351737976074,110,0.00011750000000000001,21,434.4298109
1756375584.6342924,1.6203,1.5972222222222223,2.9777631759643555,115,0.00011333333333333334,22,455.7803398
1756375606.0902185,1.5266,1.6666666666666665,2.408578872680664,120,0.00010916666666666666,23,477.2362669
1756375628.0642722,1.4821,1.7361111111111112,2.7421953678131104,125,0.000105,24,499.2097753
1756375650.4556744,1.575,1.8055555555555556,2.5694353580474854,130,0.00010083333333333334,25,521.6011775
1756375671.5426164,1.5431,1.875,2.6122612953186035,135,9.666666666666667e-05,26,542.6881196
1756375694.1805289,1.6115,1.9444444444444444,2.564409017562866,140,9.250000000000001e-05,27,565.3267572
1756375718.3978803,1.3628,2.013888888888889,2.2202086448669434,145,8.833333333333333e-05,28,589.5433836
1756375741.7526207,0.8545,2.0833333333333335,2.2509353160858154,150,8.416666666666668e-05,29,612.898124
1756375765.2898507,0.9099,2.1527777777777777,3.0905470848083496,155,8e-05,30,636.4353538
1756375785.5243099,0.8888,2.2222222222222223,2.882753372192383,160,7.583333333333334e-05,31,656.6698129
1756375804.4196875,0.8799,2.2916666666666665,2.6980416774749756,165,7.166666666666667e-05,32,675.5651905
1756375822.235821,0.8486,2.361111111111111,2.876103401184082,170,6.750000000000001e-05,33,693.3813242
1756375839.9375818,0.8409,2.4305555555555554,2.6847074031829834,175,6.333333333333333e-05,34,711.0830849
1756375861.2054472,0.8895,2.5,2.7796268463134766,180,5.916666666666667e-05,35,732.3509503
1756375882.4998586,0.8667,2.5694444444444446,2.9537649154663086,185,5.500000000000001e-05,36,753.645362
1756375902.341928,0.8855,2.638888888888889,2.641155481338501,190,5.0833333333333333e-05,37,773.4874312
1756375921.5295863,0.8957,2.7083333333333335,3.638596773147583,195,4.666666666666667e-05,38,792.6755934
1756375943.3023975,0.896,2.7777777777777777,2.951089859008789,200,4.25e-05,39,814.4479006
1756375965.300398,0.8613,2.8472222222222223,2.6781368255615234,205,3.8333333333333334e-05,40,836.4459013
1756375985.0143232,0.8525,2.9166666666666665,2.6163058280944824,210,3.4166666666666666e-05,41,856.1598264
1756376005.2010603,0.8464,2.986111111111111,3.5169386863708496,215,3e-05,42,876.3465635
1756376027.6686966,0.5717,3.0555555555555554,1.6862514019012451,220,2.5833333333333336e-05,43,898.8141998
1756376046.687055,0.4925,3.125,2.2724692821502686,225,2.1666666666666667e-05,44,917.8325582
1756376066.2708092,0.5131,3.1944444444444446,2.179222583770752,230,1.75e-05,45,937.4163124
1756376088.9133403,0.5042,3.263888888888889,2.2281627655029297,235,1.3333333333333333e-05,46,960.0588437
1756376109.3703423,0.4899,3.3333333333333335,2.2622368335723877,240,9.166666666666666e-06,47,980.5163527
1756376129.5434775,0.461,3.4027777777777777,2.2187659740448,245,5e-06,48,1000.6889808
1756376149.8471289,0.5016,3.4722222222222223,2.370720386505127,250,8.333333333333333e-07,49,1020.992632
1756376151.7883322,,3.4722222222222223,,250,,50,1022.9338354
